Caso #1 -- Respuesta: 53 -- Tiempo: 4.802118 segundos -- Nodos generados: 584154-- Nodos por segundo: 146038
Caso #2 -- Respuesta: 57 -- Tiempo: 1.739014 segundos -- Nodos generados: 206107 -- Nodos por segundo: 146038      
Caso #3 -- Respuesta: 55 -- Tiempo: 21.685556 segundos -- Nodos generados: 2729672 -- Nodos por segundo: 146038    
Caso #4 -- Respuesta: 59 -- Tiempo: 69.409137 segundos -- Nodos generados: 8440126 -- Nodos por segundo: 146038    
Caso #5 -- Respuesta: 56 -- Tiempo: 72.246416 segundos -- Nodos generados: 8949214 -- Nodos por segundo: 146038    
Caso #6 -- Respuesta: 56 -- Tiempo: 1.492843 segundos -- Nodos generados: 178118 -- Nodos por segundo: 146038      
Caso #7 -- Respuesta: 52 -- Tiempo: 0.657736 segundos -- Nodos generados: 80356 -- Nodos por segundo: 146038       
Caso #8 -- Respuesta: 52 -- Tiempo: 75.408409 segundos -- Nodos generados: 9533505 -- Nodos por segundo: 146038    
Caso #9 -- Respuesta: 50 -- Tiempo: 3.702833 segundos -- Nodos generados: 458481 -- Nodos por segundo: 146038      
Caso #10 -- Respuesta: 48 -- Tiempo: 0.639599 segundos -- Nodos generados: 79543 -- Nodos por segundo: 146038      
Caso #11 -- Respuesta: 59 -- Tiempo: 76.982561 segundos -- Nodos generados: 9307897 -- Nodos por segundo: 146038   
Caso #12 -- Respuesta: 57 -- Tiempo: 32.023652 segundos -- Nodos generados: 3860153 -- Nodos por segundo: 146038   
Caso #13 -- Respuesta: 45 -- Tiempo: 0.745142 segundos -- Nodos generados: 92617 -- Nodos por segundo: 146038      
Caso #14 -- Respuesta: 46 -- Tiempo: 2.341107 segundos -- Nodos generados: 295250 -- Nodos por segundo: 146038     
Caso #15 -- Respuesta: 59 -- Tiempo: 312.832105 segundos -- Nodos generados: 38290018 -- Nodos por segundo: 146038 
Caso #16 -- Respuesta: 62 -- Tiempo: 257.820282 segundos -- Nodos generados: 30939588 -- Nodos por segundo: 146038 
Caso #17 -- Respuesta: 42 -- Tiempo: 1.057776 segundos -- Nodos generados: 134582 -- Nodos por segundo: 146038     
Caso #18 -- Respuesta: 66 -- Tiempo: 1126.582286 segundos -- Nodos generados: 133777804 -- Nodos por segundo: 146038
Caso #19 -- Respuesta: 55 -- Tiempo: 5.548337 segundos -- Nodos generados: 670318 -- Nodos por segundo: 146038     
Caso #20 -- Respuesta: 46 -- Tiempo: 0.334988 segundos -- Nodos generados: 42476 -- Nodos por segundo: 146038      
Caso #21 -- Respuesta: 54 -- Tiempo: 1.539985 segundos -- Nodos generados: 188233 -- Nodos por segundo: 146038     
Caso #22 -- Respuesta: 54 -- Tiempo: 14.753622 segundos -- Nodos generados: 1828843 -- Nodos por segundo: 146038   
Caso #23 -- Respuesta: 59 -- Tiempo: 208.882699 segundos -- Nodos generados: 25137689 -- Nodos por segundo: 146038 
Caso #24 -- Respuesta: 49 -- Tiempo: 2.189193 segundos -- Nodos generados: 271290 -- Nodos por segundo: 146038     
Caso #25 -- Respuesta: 54 -- Tiempo: 16.103980 segundos -- Nodos generados: 1979980 -- Nodos por segundo: 146038   
